कृषि उपज,ईकाइ,न्यूनतम,अधिकतम,औसत,cdate,pricetype
गोलभेडा ठूलो(नेपाली),के.जी.,50,60,55,02/05/2020,W
ठूलो गोलभेडा(भारतीय),केजी,50,60,55,02/05/2020,W
गोलभेडा सानो,के.जी.,22,25,23,02/05/2020,W
गोलभेडा सानो(टनेल),के जी,20,25,22,02/05/2020,W
गोलभेडा सानो(भारतीय),के जी,25,30,28,02/05/2020,W
गोलभेडा सानो(तराई),के जी,25,30,28,02/05/2020,W
अालु रातो,के.जी.,30,35,33,02/05/2020,W
आलु रातो(भारतीय),के जी,30,32,31,02/05/2020,W
प्याज सुकेको भारतीय,के.जी.,85,90,88,02/05/2020,W
गाजर(लोकल),के.जी.,30,35,33,02/05/2020,W
गाजर(तराई),केजी,20,25,22,02/05/2020,W
बन्दा(लोकल),के.जी.,30,35,33,02/05/2020,W
बन्दा(तराई),केजी,30,35,33,02/05/2020,W
बन्दा(नरिवल),केजी,25,30,28,02/05/2020,W
काउली स्थानिय,के.जी.,20,30,25,02/05/2020,W
स्थानीय काउली(ज्यापु),केजी,40,45,42,02/05/2020,W
काउली तरार्इ,के.जी.,15,20,18,02/05/2020,W
मूला सेतो(लोकल),के.जी.,15,20,18,02/05/2020,W
सेतो मूला(हाइब्रीड),केजी,15,20,18,02/05/2020,W
भन्टा लाम्चो,के.जी.,45,50,48,02/05/2020,W
भन्टा डल्लो,के.जी.,45,50,48,02/05/2020,W
मटरकोशा,के.जी.,65,70,68,02/05/2020,W
घिउ सिमी(लोकल),के.जी.,75,80,78,02/05/2020,W
घिउ सिमी(हाइब्रीड),केजी,75,80,78,02/05/2020,W
टाटे सिमी,के.जी.,60,65,62,02/05/2020,W
तितो करेला,के.जी.,130,140,135,02/05/2020,W
लौका,के.जी.,40,45,42,02/05/2020,W
फर्सी पाकेको,के.जी.,40,45,42,02/05/2020,W
फर्सी हरियो(लाम्चो),के.जी.,15,20,18,02/05/2020,W
हरियो फर्सी(डल्लो),केजी,40,45,42,02/05/2020,W
भिण्डी,के.जी.,75,80,78,02/05/2020,W
पिंडालू,के.जी.,45,50,48,02/05/2020,W
स्कूस,के.जी.,35,40,38,02/05/2020,W
रायो साग,के.जी.,20,30,25,02/05/2020,W
पालूगो साग,के.जी.,30,35,33,02/05/2020,W
चमसूरको साग,के.जी.,35,40,38,02/05/2020,W
तोरीको साग,के.जी.,30,35,33,02/05/2020,W
मेथीको साग,के.जी.,35,40,38,02/05/2020,W
प्याज हरियो,के.जी.,120,130,125,02/05/2020,W
तरुल,के.जी.,60,70,65,02/05/2020,W
च्याउ(कन्य),के.जी.,80,90,85,02/05/2020,W
च्याउ(डल्ले),के जी,270,280,275,02/05/2020,W
ब्रोकाउली,के.जी.,40,45,42,02/05/2020,W
चुकुन्दर,के.जी.,70,80,75,02/05/2020,W
जिरीको साग,के.जी.,60,70,65,02/05/2020,W
ग्याठ कोबी,के.जी.,35,40,38,02/05/2020,W
सेलरी,के.जी.,420,430,425,02/05/2020,W
पार्सले,के.जी.,420,430,425,02/05/2020,W
सौफको साग,के.जी.,35,40,38,02/05/2020,W
पुदीना,के.जी.,270,280,275,02/05/2020,W
गान्टे मूला,के.जी.,30,35,33,02/05/2020,W
इमली,के.जी.,130,140,135,02/05/2020,W
तामा,के.जी.,110,120,115,02/05/2020,W
तोफु,के.जी.,90,100,95,02/05/2020,W
गुन्दुक,के.जी.,270,280,275,02/05/2020,W
स्याउ(झोले),के.जी.,90,100,95,02/05/2020,W
केरा,दर्जन,70,80,75,02/05/2020,W
कागती,के.जी.,100,110,105,02/05/2020,W
अनार,के.जी.,110,120,115,02/05/2020,W
अंगुर(हरियो),के.जी.,140,150,145,02/05/2020,W
अंगुर(कालो),केजी,240,250,245,02/05/2020,W
